Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MFN,PN
1,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04,J1,Switch,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,~,JST,B4B-PH-K-S
2,"Momentary Switch, dual pole double throw",SW_Push_DPDT,SW1,SW_DPDT,SW_2P2T_Toggle_NKK_M2023SS4W03,1,~,TE Connectivity,A203SYCQ04





Component Groups:,2
Component Count:,2
Fitted Components:,2
Number of PCBs:,1
Total components:,2
Schematic Version:,1.0
Schematic Date:,2023-06-20
PCB Variant:,default
BoM Date:,23.06.2023 09:26:15
Schematic Source:,switch_breakout.kicad_sch
KiCad Version:,Eeschema (6.0.7)
